date,cases
2019-10-01,99
2019-10-02,78
2019-10-03,50
2019-10-04,68
2019-10-05,69
2019-10-06,119
2019-10-07,58
2019-10-08,75
2019-10-09,97
2019-10-10,77
2019-10-11,72
2019-10-12,83
2019-10-13,113
2019-10-14,115
2019-10-15,86
2019-10-16,84
2019-10-17,70
2019-10-18,99
2019-10-19,130
2019-10-20,126
2019-10-21,164
2019-10-22,125
2019-10-23,148
2019-10-24,183
2019-10-25,163
2019-10-26,126
2019-10-27,138
2019-10-28,190
2019-10-29,134
2019-10-30,154
2019-10-31,222
2019-11-01,160
2019-11-02,194
2019-11-03,177
2019-11-04,278
2019-11-05,227
2019-11-06,212
2019-11-07,301
2019-11-08,168
2019-11-09,309
2019-11-10,264
2019-11-11,271
2019-11-12,364
2019-11-13,421
2019-11-14,382
2019-11-15,339
2019-11-16,254
2019-11-17,411
2019-11-18,359
2019-11-19,331
2019-11-20,410
2019-11-21,441
2019-11-22,503
2019-11-23,559
2019-11-24,549
2019-11-25,529
2019-11-26,528
2019-11-27,552
2019-11-28,582
2019-11-29,544
2019-11-30,411
2019-12-01,648
2019-12-02,616
2019-12-03,809
2019-12-04,428
2019-12-05,547
2019-12-06,546
2019-12-07,647
2019-12-08,788
2019-12-09,911
2019-12-10,1021
2019-12-11,957
2019-12-12,908
2019-12-13,924
2019-12-14,1212
2019-12-15,892
2019-12-16,1201
2019-12-17,1115
2019-12-18,995
2019-12-19,1235
2019-12-20,1108
2019-12-21,1184
2019-12-22,1286
2019-12-23,1192
2019-12-24,1439
2019-12-25,1425
2019-12-26,1360
2019-12-27,1545
2019-12-28,1582
2019-12-29,1399
2019-12-30,1434
2019-12-31,1988
2020-01-01,1600
2020-01-02,1340
2020-01-03,1581
2020-01-04,1963
2020-01-05,1792
2020-01-06,1798
2020-01-07,1604
2020-01-08,2241
2020-01-09,1870
2020-01-10,1518
2020-01-11,2350
2020-01-12,2258
2020-01-13,2756
2020-01-14,1964
2020-01-15,2557
2020-01-16,3129
2020-01-17,2166
2020-01-18,2080
2020-01-19,2014
2020-01-20,3060
2020-01-21,2465
2020-01-22,3252
2020-01-23,2318
2020-01-24,3509
2020-01-25,1791
2020-01-26,2044
2020-01-27,2247
2020-01-28,2637
2020-01-29,2704
2020-01-30,2108
2020-01-31,2272
2020-02-01,3353
2020-02-02,2051
2020-02-03,2014
2020-02-04,3046
2020-02-05,2565
2020-02-06,2685
2020-02-07,3239
2020-02-08,4113
2020-02-09,2413
2020-02-10,3072
2020-02-11,2633
2020-02-12,2514
2020-02-13,2589
2020-02-14,3294
2020-02-15,2012
2020-02-16,2466
2020-02-17,3885
2020-02-18,2563
2020-02-19,3131
2020-02-20,4519
2020-02-21,2556
2020-02-22,2998
2020-02-23,2782
2020-02-24,2255
2020-02-25,2353
2020-02-26,2255
2020-02-27,2496
2020-02-28,2551
2020-02-29,2618
2020-03-01,1622
2020-03-02,2163
2020-03-03,2527
2020-03-04,1942
2020-03-05,2352
2020-03-06,1813
2020-03-07,2667
2020-03-08,2026
2020-03-09,2076
2020-03-10,1727
2020-03-11,2475
2020-03-12,1420
2020-03-13,1927
2020-03-14,1797
2020-03-15,1287
2020-03-16,1722
2020-03-17,1523
2020-03-18,1537
2020-03-19,1755
2020-03-20,1435
2020-03-21,1409
2020-03-22,1275
2020-03-23,1791
2020-03-24,1336
2020-03-25,1237
2020-03-26,1675
2020-03-27,1467
2020-03-28,1264
2020-03-29,1252
2020-03-30,916
