date,cases
2019-01-15,4
2019-01-16,11
2019-01-17,1
2019-01-18,5
2019-01-19,2
2019-01-20,12
2019-01-21,10
2019-01-22,11
2019-01-23,11
2019-01-24,8
2019-01-25,9
2019-01-26,11
2019-01-27,18
2019-01-28,7
2019-01-29,15
2019-01-30,9
2019-01-31,17
2019-02-01,25
2019-02-02,15
2019-02-03,17
2019-02-04,20
2019-02-05,18
2019-02-06,15
2019-02-07,10
2019-02-08,22
2019-02-09,24
2019-02-10,6
2019-02-11,17
2019-02-12,16
2019-02-13,33
2019-02-14,30
2019-02-15,36
2019-02-16,15
2019-02-17,25
2019-02-18,32
2019-02-19,30
2019-02-20,32
2019-02-21,24
2019-02-22,36
2019-02-23,23
2019-02-24,48
2019-02-25,25
2019-02-26,29
2019-02-27,28
2019-02-28,40
2019-03-01,50
2019-03-02,47
2019-03-03,44
2019-03-04,58
2019-03-05,69
2019-03-06,51
2019-03-07,77
2019-03-08,80
2019-03-09,76
2019-03-10,77
2019-03-11,73
2019-03-12,67
2019-03-13,74
2019-03-14,69
2019-03-15,94
2019-03-16,114
2019-03-17,84
2019-03-18,120
2019-03-19,90
2019-03-20,92
2019-03-21,112
2019-03-22,124
2019-03-23,155
2019-03-24,135
2019-03-25,85
2019-03-26,193
2019-03-27,169
2019-03-28,144
2019-03-29,169
2019-03-30,162
2019-03-31,182
2019-04-01,210
2019-04-02,163
2019-04-03,161
2019-04-04,175
2019-04-05,215
2019-04-06,189
2019-04-07,307
2019-04-08,233
2019-04-09,229
2019-04-10,311
2019-04-11,235
2019-04-12,258
2019-04-13,329
2019-04-14,256
2019-04-15,290
2019-04-16,293
2019-04-17,289
2019-04-18,290
2019-04-19,361
2019-04-20,266
2019-04-21,379
2019-04-22,320
2019-04-23,350
2019-04-24,241
2019-04-25,305
2019-04-26,454
2019-04-27,311
2019-04-28,425
2019-04-29,508
2019-04-30,436
2019-05-01,364
2019-05-02,486
2019-05-03,448
2019-05-04,478
2019-05-05,328
2019-05-06,514
2019-05-07,452
2019-05-08,527
2019-05-09,387
2019-05-10,566
2019-05-11,546
2019-05-12,635
2019-05-13,596
2019-05-14,495
2019-05-15,524
2019-05-16,567
2019-05-17,440
2019-05-18,582
2019-05-19,439
2019-05-20,508
2019-05-21,436
2019-05-22,477
2019-05-23,573
2019-05-24,532
2019-05-25,523
2019-05-26,506
2019-05-27,590
2019-05-28,517
2019-05-29,528
2019-05-30,465
2019-05-31,407
2019-06-01,509
2019-06-02,359
2019-06-03,477
2019-06-04,544
2019-06-05,458
2019-06-06,424
2019-06-07,287
2019-06-08,419
2019-06-09,337
2019-06-10,403
2019-06-11,415
2019-06-12,488
2019-06-13,459
2019-06-14,378
2019-06-15,400
2019-06-16,327
2019-06-17,354
2019-06-18,282
2019-06-19,198
2019-06-20,362
2019-06-21,225
2019-06-22,273
2019-06-23,238
2019-06-24,344
2019-06-25,244
2019-06-26,234
2019-06-27,215
2019-06-28,229
2019-06-29,217
2019-06-30,248
2019-07-01,250
2019-07-02,228
2019-07-03,221
2019-07-04,151
2019-07-05,158
2019-07-06,154
2019-07-07,166
2019-07-08,179
2019-07-09,176
2019-07-10,152
2019-07-11,138
2019-07-12,127
2019-07-13,140
2019-07-14,134
2019-07-15,164
2019-07-16,126
2019-07-17,96
2019-07-18,95
2019-07-19,124
2019-07-20,71
2019-07-21,109
2019-07-22,99
2019-07-23,102
2019-07-24,76
2019-07-25,92
2019-07-26,94
2019-07-27,72
2019-07-28,73
2019-07-29,61
2019-07-30,61
2019-07-31,81
2019-08-01,65
2019-08-02,75
