date,cases,deaths
2014-03-23,18.0,15.0
2014-03-24,18.0,15.0
2014-03-25,,1.0
2014-03-26,,2.0
2014-03-27,17.0,4.0
2014-03-28,9.0,4.0
2014-03-29,,
2014-03-30,5.0,5.0
2014-03-31,5.0,5.0
2014-04-01,5.0,3.0
2014-04-02,5.0,1.0
2014-04-03,5.0,1.0
2014-04-04,5.0,1.0
2014-04-05,3.0,3.0
2014-04-06,3.0,3.0
2014-04-07,3.0,3.0
2014-04-08,4.0,3.0
2014-04-09,4.0,3.0
2014-04-10,,2.0
2014-04-11,,2.0
2014-04-12,3.0,1.0
2014-04-13,3.0,1.0
2014-04-14,3.0,1.0
2014-04-15,14.0,7.0
2014-04-16,14.0,7.0
2014-04-17,6.0,7.0
2014-04-18,2.0,2.0
2014-04-19,2.0,2.0
2014-04-20,2.0,2.0
2014-04-21,3.0,2.0
2014-04-22,3.0,2.0
2014-04-23,3.0,2.0
2014-04-24,2.0,1.0
2014-04-25,2.0,1.0
2014-04-26,2.0,1.0
2014-04-27,,1.0
2014-04-28,,1.0
2014-04-29,,1.0
2014-04-30,,1.0
2014-05-01,,1.0
2014-05-02,2.0,3.0
2014-05-03,2.0,3.0
2014-05-04,2.0,1.0
2014-05-05,2.0,1.0
2014-05-06,,
2014-05-07,,
2014-05-08,,
2014-05-09,,
2014-05-10,,
2014-05-11,8.0,7.0
2014-05-12,8.0,7.0
2014-05-13,1.0,
2014-05-14,1.0,
2014-05-15,1.0,
2014-05-16,1.0,
2014-05-17,1.0,
2014-05-18,1.0,
2014-05-19,1.0,
2014-05-20,1.0,
2014-05-21,1.0,
2014-05-22,1.0,
2014-05-23,1.0,
2014-05-24,6.0,3.0
2014-05-25,6.0,3.0
2014-05-26,6.0,3.0
2014-05-27,6.0,3.0
2014-05-28,10.0,7.0
2014-05-29,9.0,4.0
2014-05-30,9.0,4.0
2014-05-31,9.0,4.0
2014-06-01,9.0,4.0
2014-06-02,8.0,4.0
2014-06-03,8.0,4.0
2014-06-04,1.0,2.0
2014-06-05,1.0,2.0
2014-06-06,1.0,2.0
2014-06-07,1.0,2.0
2014-06-08,1.0,2.0
2014-06-09,1.0,2.0
2014-06-10,1.0,2.0
2014-06-11,8.0,6.0
2014-06-12,8.0,6.0
2014-06-13,8.0,6.0
2014-06-14,8.0,6.0
2014-06-15,8.0,6.0
2014-06-16,8.0,6.0
2014-06-17,,2.0
2014-06-18,,2.0
2014-06-19,,2.0
2014-06-20,,2.0
2014-06-21,2.0,3.0
2014-06-22,2.0,3.0
2014-06-23,2.0,3.0
2014-06-24,2.0,3.0
2014-06-25,2.0,3.0
2014-06-26,2.0,3.0
2014-06-27,2.0,3.0
2014-06-28,2.0,3.0
2014-06-29,2.0,3.0
2014-06-30,2.0,3.0
2014-07-01,,1.0
2014-07-02,,1.0
2014-07-03,,
2014-07-04,,
2014-07-05,,
2014-07-06,,
2014-07-07,,1.0
2014-07-08,,1.0
2014-07-09,,
2014-07-10,,
2014-07-11,,
2014-07-12,,
2014-07-13,2.0,3.0
2014-07-14,2.0,3.0
2014-07-15,,
2014-07-16,,
2014-07-17,,
2014-07-18,2.0,1.0
2014-07-19,2.0,1.0
2014-07-20,2.0,1.0
2014-07-21,4.0,2.0
2014-07-22,4.0,2.0
2014-07-23,4.0,2.0
