date,cases,deaths
2014-03-28,,
2014-03-29,,
2014-03-30,,
2014-03-31,,
2014-04-01,,
2014-04-02,,
2014-04-03,,
2014-04-04,,
2014-04-05,,
2014-04-06,,
2014-04-07,,
2014-04-08,,
2014-04-09,,
2014-04-10,,
2014-04-11,,
2014-04-12,2.0,
2014-04-13,2.0,
2014-04-14,2.0,
2014-04-15,2.0,
2014-04-16,,
2014-04-17,,
2014-04-18,,
2014-04-19,,
2014-04-20,,
2014-04-21,,
2014-04-22,,
2014-04-23,,
2014-04-24,,
2014-04-25,,
2014-04-26,,
2014-04-27,,
2014-04-28,,
2014-04-29,,
2014-04-30,,
2014-05-01,,
2014-05-02,,
2014-05-03,,
2014-05-04,,
2014-05-05,,
2014-05-06,,
2014-05-07,,
2014-05-08,,
2014-05-09,,
2014-05-10,,
2014-05-11,,
2014-05-12,,
2014-05-13,,
2014-05-14,,
2014-05-15,,
2014-05-16,,
2014-05-17,,
2014-05-18,,
2014-05-19,,
2014-05-20,,
2014-05-21,,
2014-05-22,,
2014-05-23,,
2014-05-24,4.0,1.0
2014-05-25,4.0,1.0
2014-05-26,4.0,1.0
2014-05-27,4.0,1.0
2014-05-28,34.0,1.0
2014-05-29,7.0,
2014-05-30,7.0,
2014-05-31,7.0,
2014-06-01,7.0,
2014-06-02,,
2014-06-03,,
2014-06-04,,
2014-06-05,,
2014-06-06,2.0,
2014-06-07,2.0,
2014-06-08,2.0,
2014-06-09,2.0,
2014-06-10,2.0,
2014-06-11,1.0,6.0
2014-06-12,1.0,6.0
2014-06-13,1.0,6.0
2014-06-14,1.0,6.0
2014-06-15,1.0,6.0
2014-06-16,1.0,6.0
2014-06-17,1.0,6.0
2014-06-18,39.0,
2014-06-19,11.0,3.0
2014-06-20,11.0,3.0
2014-06-21,8.0,6.0
2014-06-22,8.0,6.0
2014-06-23,8.0,6.0
2014-06-24,8.0,6.0
2014-06-25,8.0,6.0
2014-06-26,8.0,6.0
2014-06-27,8.0,6.0
2014-06-28,8.0,6.0
2014-06-29,8.0,6.0
2014-06-30,8.0,6.0
2014-07-01,6.0,1.0
2014-07-02,6.0,1.0
2014-07-03,13.0,6.0
2014-07-04,13.0,6.0
2014-07-05,13.0,6.0
2014-07-06,13.0,6.0
2014-07-07,16.0,8.0
2014-07-08,16.0,8.0
2014-07-09,12.0,13.0
2014-07-10,12.0,13.0
2014-07-11,12.0,13.0
2014-07-12,12.0,13.0
2014-07-13,6.0,2.0
2014-07-14,6.0,2.0
2014-07-15,15.0,3.0
2014-07-16,15.0,3.0
2014-07-17,15.0,3.0
2014-07-18,4.0,4.0
2014-07-19,4.0,4.0
2014-07-20,4.0,4.0
2014-07-21,24.0,2.0
2014-07-22,24.0,2.0
2014-07-23,24.0,2.0
2014-07-24,2.0,2.0
2014-07-25,2.0,2.0
2014-07-26,2.0,2.0
2014-07-27,2.0,2.0
2014-07-28,14.0,6.0
2014-07-29,14.0,6.0
2014-07-30,14.0,6.0
2014-07-31,36.0,10.0
2014-08-01,36.0,10.0
2014-08-02,15.0,4.0
2014-08-03,15.0,4.0
2014-08-04,15.0,4.0
2014-08-05,13.0,6.0
2014-08-06,13.0,6.0
2014-08-07,4.0,6.0
2014-08-08,4.0,6.0
2014-08-09,4.0,6.0
2014-08-10,26.0,10.0
2014-08-11,26.0,10.0
2014-08-12,14.0,7.0
2014-08-13,14.0,7.0
2014-08-14,13.0,6.0
2014-08-15,13.0,6.0
2014-08-16,13.0,6.0
2014-08-17,30.0,4.0
2014-08-18,30.0,4.0
2014-08-19,2.0,9.0
2014-08-20,2.0,9.0
2014-08-21,19.0,5.0
2014-08-22,19.0,5.0
2014-08-23,19.0,5.0
2014-08-24,19.0,5.0
2014-08-25,19.0,5.0
2014-08-26,19.0,5.0
2014-08-27,38.0,11.0
2014-08-28,38.0,11.0
2014-08-29,38.0,11.0
2014-08-30,38.0,11.0
2014-08-31,38.0,11.0
2014-09-01,9.0,3.0
2014-09-02,9.0,3.0
2014-09-03,9.0,3.0
2014-09-04,9.0,3.0
2014-09-05,9.0,3.0
2014-09-06,82.0,16.0
2014-09-07,82.0,16.0
2014-09-08,18.0,4.0
2014-09-09,18.0,4.0
2014-09-10,18.0,4.0
2014-09-11,47.0,9.0
2014-09-12,47.0,9.0
2014-09-13,47.0,9.0
2014-09-14,53.0,
2014-09-15,23.0,5.0
2014-09-16,23.0,5.0
2014-09-17,23.0,5.0
2014-09-18,23.0,5.0
2014-09-19,23.0,5.0
2014-09-20,23.0,5.0
2014-09-21,127.0,4.0
2014-09-22,40.0,4.0
2014-09-23,40.0,4.0
2014-09-24,57.0,3.0
2014-09-25,57.0,3.0
2014-09-26,57.0,3.0
2014-09-27,57.0,3.0
2014-09-28,57.0,3.0
2014-09-29,44.0,
2014-09-30,44.0,
2014-10-01,44.0,
2014-10-02,88.0,64.0
2014-10-03,88.0,64.0
2014-10-04,88.0,64.0
2014-10-05,88.0,64.0
2014-10-06,54.0,17.0
2014-10-07,54.0,17.0
2014-10-08,54.0,17.0
2014-10-09,76.0,63.0
2014-10-10,76.0,63.0
2014-10-11,76.0,63.0
2014-10-12,76.0,63.0
2014-10-13,79.0,8.0
2014-10-14,79.0,8.0
2014-10-15,59.0,12.0
2014-10-16,59.0,12.0
2014-10-17,59.0,12.0
2014-10-18,59.0,12.0
2014-10-19,59.0,12.0
2014-10-20,63.0,7.0
2014-10-21,63.0,7.0
2014-10-22,63.0,7.0
2014-10-23,268.0,44.0
2014-10-24,268.0,44.0
2014-10-25,268.0,44.0
2014-10-26,268.0,44.0
2014-10-27,268.0,44.0
2014-10-28,52.0,5.0
2014-10-29,52.0,5.0
2014-10-30,,
2014-10-31,,
2014-11-01,,
2014-11-02,,
2014-11-03,52.0,30.0
2014-11-04,52.0,30.0
2014-11-05,101.0,8.0
2014-11-06,101.0,8.0
2014-11-07,101.0,8.0
2014-11-08,101.0,8.0
2014-11-09,101.0,8.0
2014-11-10,109.0,9.0
