date,cases,ILI_rate_per_100k
2023-10-02,10200,105.0
2023-10-03,10200,105.0
2023-10-04,10200,105.0
2023-10-05,10200,105.0
2023-10-06,10200,105.0
2023-10-07,10200,105.0
2023-10-08,10200,105.0
2023-10-09,8636,88.9
2023-10-10,8636,88.9
2023-10-11,8636,88.9
2023-10-12,8636,88.9
2023-10-13,8636,88.9
2023-10-14,8636,88.9
2023-10-15,8636,88.9
2023-10-16,8413,86.6
2023-10-17,8413,86.6
2023-10-18,8413,86.6
2023-10-19,8413,86.6
2023-10-20,8413,86.6
2023-10-21,8413,86.6
2023-10-22,8413,86.6
2023-10-23,6654,68.5
2023-10-24,6654,68.5
2023-10-25,6654,68.5
2023-10-26,6654,68.5
2023-10-27,6654,68.5
2023-10-28,6654,68.5
2023-10-29,6654,68.5
2023-10-30,7393,76.1
2023-10-31,7393,76.1
2023-11-01,7393,76.1
2023-11-02,7393,76.1
2023-11-03,7393,76.1
2023-11-04,7393,76.1
2023-11-05,7393,76.1
2023-11-06,10657,109.7
2023-11-07,10657,109.7
2023-11-08,10657,109.7
2023-11-09,10657,109.7
2023-11-10,10657,109.7
2023-11-11,10657,109.7
2023-11-12,10657,109.7
2023-11-13,12415,127.8
2023-11-14,12415,127.8
2023-11-15,12415,127.8
2023-11-16,12415,127.8
2023-11-17,12415,127.8
2023-11-18,12415,127.8
2023-11-19,12415,127.8
2023-11-20,16427,169.1
2023-11-21,16427,169.1
2023-11-22,16427,169.1
2023-11-23,16427,169.1
2023-11-24,16427,169.1
2023-11-25,16427,169.1
2023-11-26,16427,169.1
2023-11-27,18389,189.3
2023-11-28,18389,189.3
2023-11-29,18389,189.3
2023-11-30,18389,189.3
2023-12-01,18389,189.3
2023-12-02,18389,189.3
2023-12-03,18389,189.3
2023-12-04,21838,224.8
2023-12-05,21838,224.8
2023-12-06,21838,224.8
2023-12-07,21838,224.8
2023-12-08,21838,224.8
2023-12-09,21838,224.8
2023-12-10,21838,224.8
2023-12-11,21906,225.5
2023-12-12,21906,225.5
2023-12-13,21906,225.5
2023-12-14,21906,225.5
2023-12-15,21906,225.5
2023-12-16,21906,225.5
2023-12-17,21906,225.5
2023-12-18,22022,226.7
2023-12-19,22022,226.7
2023-12-20,22022,226.7
2023-12-21,22022,226.7
2023-12-22,22022,226.7
2023-12-23,22022,226.7
2023-12-24,22022,226.7
2023-12-25,17087,175.9
2023-12-26,17087,175.9
2023-12-27,17087,175.9
2023-12-28,17087,175.9
2023-12-29,17087,175.9
2023-12-30,17087,175.9
2023-12-31,17087,175.9
2024-01-01,17816,183.4
2024-01-02,17816,183.4
2024-01-03,17816,183.4
2024-01-04,17816,183.4
2024-01-05,17816,183.4
2024-01-06,17816,183.4
2024-01-07,17816,183.4
2024-01-08,19098,196.6
2024-01-09,19098,196.6
2024-01-10,19098,196.6
2024-01-11,19098,196.6
2024-01-12,19098,196.6
2024-01-13,19098,196.6
2024-01-14,19098,196.6
2024-01-15,24121,248.3
2024-01-16,24121,248.3
2024-01-17,24121,248.3
2024-01-18,24121,248.3
2024-01-19,24121,248.3
2024-01-20,24121,248.3
2024-01-21,24121,248.3
2024-01-22,31455,323.8
2024-01-23,31455,323.8
2024-01-24,31455,323.8
2024-01-25,31455,323.8
2024-01-26,31455,323.8
2024-01-27,31455,323.8
2024-01-28,31455,323.8
2024-01-29,31911,328.5
2024-01-30,31911,328.5
2024-01-31,31911,328.5
2024-02-01,31911,328.5
2024-02-02,31911,328.5
2024-02-03,31911,328.5
2024-02-04,31911,328.5
2024-02-05,28045,288.7
2024-02-06,28045,288.7
2024-02-07,28045,288.7
2024-02-08,28045,288.7
2024-02-09,28045,288.7
2024-02-10,28045,288.7
2024-02-11,28045,288.7
2024-02-12,20371,209.7
2024-02-13,20371,209.7
2024-02-14,20371,209.7
2024-02-15,20371,209.7
2024-02-16,20371,209.7
2024-02-17,20371,209.7
2024-02-18,20371,209.7
2024-02-19,15426,158.8
2024-02-20,15426,158.8
2024-02-21,15426,158.8
2024-02-22,15426,158.8
2024-02-23,15426,158.8
2024-02-24,15426,158.8
2024-02-25,15426,158.8
2024-02-26,10491,108.0
2024-02-27,10491,108.0
2024-02-28,10491,108.0
2024-02-29,10491,108.0
2024-03-01,10491,108.0
2024-03-02,10491,108.0
2024-03-03,10491,108.0
2024-03-04,8869,91.3
2024-03-05,8869,91.3
2024-03-06,8869,91.3
2024-03-07,8869,91.3
2024-03-08,8869,91.3
2024-03-09,8869,91.3
2024-03-10,8869,91.3
2024-03-11,7422,76.4
2024-03-12,7422,76.4
2024-03-13,7422,76.4
2024-03-14,7422,76.4
2024-03-15,7422,76.4
2024-03-16,7422,76.4
2024-03-17,7422,76.4
2024-03-18,5994,61.7
2024-03-19,5994,61.7
2024-03-20,5994,61.7
2024-03-21,5994,61.7
2024-03-22,5994,61.7
2024-03-23,5994,61.7
2024-03-24,5994,61.7
2024-03-25,5178,53.3
