date,cases,ILI_rate_per_100k
2024-10-14,50811,592.8
2024-10-21,50006,583.4
2024-10-28,47503,554.2
2024-11-04,58543,683.0
2024-11-11,63257,738.0
2024-11-18,68666,801.1
2024-11-25,73037,852.1
2024-12-02,77426,903.3
2024-12-09,87163,1016.9
2024-12-16,91851,1071.6
2024-12-23,90069,1050.8
2024-12-30,105849,1234.9
2025-01-06,128014,1493.5
2025-01-13,137314,1602.0
2025-01-20,148714,1735.0
2025-01-27,144034,1680.4
2025-02-03,130534,1522.9
2025-02-10,121766,1420.6
2025-02-17,112200,1309.0
2025-02-24,97363,1135.9
2025-03-03,84317,983.7
2025-03-10,75154,876.8
2025-03-17,64946,757.7
2025-03-24,59357,692.5
2025-03-31,52397,611.3
