date,cases,ILI_rate_per_100k
2022-10-03,437,17.1
2022-10-04,437,17.1
2022-10-05,437,17.1
2022-10-06,437,17.1
2022-10-07,437,17.1
2022-10-08,437,17.1
2022-10-09,437,17.1
2022-10-10,419,16.4
2022-10-11,419,16.4
2022-10-12,419,16.4
2022-10-13,419,16.4
2022-10-14,419,16.4
2022-10-15,419,16.4
2022-10-16,419,16.4
2022-10-17,409,16.0
2022-10-18,409,16.0
2022-10-19,409,16.0
2022-10-20,409,16.0
2022-10-21,409,16.0
2022-10-22,409,16.0
2022-10-23,409,16.0
2022-10-24,419,16.4
2022-10-25,419,16.4
2022-10-26,419,16.4
2022-10-27,419,16.4
2022-10-28,419,16.4
2022-10-29,419,16.4
2022-10-30,419,16.4
2022-10-31,588,23.0
2022-11-01,588,23.0
2022-11-02,588,23.0
2022-11-03,588,23.0
2022-11-04,588,23.0
2022-11-05,588,23.0
2022-11-06,588,23.0
2022-11-07,506,19.8
2022-11-08,506,19.8
2022-11-09,506,19.8
2022-11-10,506,19.8
2022-11-11,506,19.8
2022-11-12,506,19.8
2022-11-13,506,19.8
2022-11-14,386,15.1
2022-11-15,386,15.1
2022-11-16,386,15.1
2022-11-17,386,15.1
2022-11-18,386,15.1
2022-11-19,386,15.1
2022-11-20,386,15.1
2022-11-21,657,25.7
2022-11-22,657,25.7
2022-11-23,657,25.7
2022-11-24,657,25.7
2022-11-25,657,25.7
2022-11-26,657,25.7
2022-11-27,657,25.7
2022-11-28,703,27.5
2022-11-29,703,27.5
2022-11-30,703,27.5
2022-12-01,703,27.5
2022-12-02,703,27.5
2022-12-03,703,27.5
2022-12-04,703,27.5
2022-12-05,777,30.4
2022-12-06,777,30.4
2022-12-07,777,30.4
2022-12-08,777,30.4
2022-12-09,777,30.4
2022-12-10,777,30.4
2022-12-11,777,30.4
2022-12-12,1353,52.9
2022-12-13,1353,52.9
2022-12-14,1353,52.9
2022-12-15,1353,52.9
2022-12-16,1353,52.9
2022-12-17,1353,52.9
2022-12-18,1353,52.9
2022-12-19,1734,67.8
2022-12-20,1734,67.8
2022-12-21,1734,67.8
2022-12-22,1734,67.8
2022-12-23,1734,67.8
2022-12-24,1734,67.8
2022-12-25,1734,67.8
2022-12-26,1685,65.9
2022-12-27,1685,65.9
2022-12-28,1685,65.9
2022-12-29,1685,65.9
2022-12-30,1685,65.9
2022-12-31,1685,65.9
2023-01-01,1685,65.9
2023-01-02,2529,98.9
2023-01-03,2529,98.9
2023-01-04,2529,98.9
2023-01-05,2529,98.9
2023-01-06,2529,98.9
2023-01-07,2529,98.9
2023-01-08,2529,98.9
2023-01-09,1662,65.0
2023-01-10,1662,65.0
2023-01-11,1662,65.0
2023-01-12,1662,65.0
2023-01-13,1662,65.0
2023-01-14,1662,65.0
2023-01-15,1662,65.0
2023-01-16,875,34.2
2023-01-17,875,34.2
2023-01-18,875,34.2
2023-01-19,875,34.2
2023-01-20,875,34.2
2023-01-21,875,34.2
2023-01-22,875,34.2
2023-01-23,913,35.7
2023-01-24,913,35.7
2023-01-25,913,35.7
2023-01-26,913,35.7
2023-01-27,913,35.7
2023-01-28,913,35.7
2023-01-29,913,35.7
2023-01-30,969,37.9
2023-01-31,969,37.9
2023-02-01,969,37.9
2023-02-02,969,37.9
2023-02-03,969,37.9
2023-02-04,969,37.9
2023-02-05,969,37.9
2023-02-06,967,37.8
2023-02-07,967,37.8
2023-02-08,967,37.8
2023-02-09,967,37.8
2023-02-10,967,37.8
2023-02-11,967,37.8
2023-02-12,967,37.8
2023-02-13,1235,48.3
2023-02-14,1235,48.3
2023-02-15,1235,48.3
2023-02-16,1235,48.3
2023-02-17,1235,48.3
2023-02-18,1235,48.3
2023-02-19,1235,48.3
2023-02-20,1013,39.6
2023-02-21,1013,39.6
2023-02-22,1013,39.6
2023-02-23,1013,39.6
2023-02-24,1013,39.6
2023-02-25,1013,39.6
2023-02-26,1013,39.6
2023-02-27,642,25.1
2023-02-28,642,25.1
2023-03-01,642,25.1
2023-03-02,642,25.1
2023-03-03,642,25.1
2023-03-04,642,25.1
2023-03-05,642,25.1
2023-03-06,944,36.9
2023-03-07,944,36.9
2023-03-08,944,36.9
2023-03-09,944,36.9
2023-03-10,944,36.9
2023-03-11,944,36.9
2023-03-12,944,36.9
2023-03-13,829,32.4
2023-03-14,829,32.4
2023-03-15,829,32.4
2023-03-16,829,32.4
2023-03-17,829,32.4
2023-03-18,829,32.4
2023-03-19,829,32.4
2023-03-20,376,14.7
2023-03-21,376,14.7
2023-03-22,376,14.7
2023-03-23,376,14.7
2023-03-24,376,14.7
2023-03-25,376,14.7
2023-03-26,376,14.7
2023-03-27,386,15.1
