date,cases,ILI_rate_per_100k
2023-10-02,11932,219.8
2023-10-03,11932,219.8
2023-10-04,11932,219.8
2023-10-05,11932,219.8
2023-10-06,11932,219.8
2023-10-07,11932,219.8
2023-10-08,11932,219.8
2023-10-09,14923,274.9
2023-10-10,14923,274.9
2023-10-11,14923,274.9
2023-10-12,14923,274.9
2023-10-13,14923,274.9
2023-10-14,14923,274.9
2023-10-15,14923,274.9
2023-10-16,17203,316.9
2023-10-17,17203,316.9
2023-10-18,17203,316.9
2023-10-19,17203,316.9
2023-10-20,17203,316.9
2023-10-21,17203,316.9
2023-10-22,17203,316.9
2023-10-23,18039,332.3
2023-10-24,18039,332.3
2023-10-25,18039,332.3
2023-10-26,18039,332.3
2023-10-27,18039,332.3
2023-10-28,18039,332.3
2023-10-29,18039,332.3
2023-10-30,16389,301.9
2023-10-31,16389,301.9
2023-11-01,16389,301.9
2023-11-02,16389,301.9
2023-11-03,16389,301.9
2023-11-04,16389,301.9
2023-11-05,16389,301.9
2023-11-06,18446,339.8
2023-11-07,18446,339.8
2023-11-08,18446,339.8
2023-11-09,18446,339.8
2023-11-10,18446,339.8
2023-11-11,18446,339.8
2023-11-12,18446,339.8
2023-11-13,19288,355.3
2023-11-14,19288,355.3
2023-11-15,19288,355.3
2023-11-16,19288,355.3
2023-11-17,19288,355.3
2023-11-18,19288,355.3
2023-11-19,19288,355.3
2023-11-20,20938,385.7
2023-11-21,20938,385.7
2023-11-22,20938,385.7
2023-11-23,20938,385.7
2023-11-24,20938,385.7
2023-11-25,20938,385.7
2023-11-26,20938,385.7
2023-11-27,42701,786.6
2023-11-28,42701,786.6
2023-11-29,42701,786.6
2023-11-30,42701,786.6
2023-12-01,42701,786.6
2023-12-02,42701,786.6
2023-12-03,42701,786.6
2023-12-04,26681,491.5
2023-12-05,26681,491.5
2023-12-06,26681,491.5
2023-12-07,26681,491.5
2023-12-08,26681,491.5
2023-12-09,26681,491.5
2023-12-10,26681,491.5
2023-12-11,27398,504.7
2023-12-12,27398,504.7
2023-12-13,27398,504.7
2023-12-14,27398,504.7
2023-12-15,27398,504.7
2023-12-16,27398,504.7
2023-12-17,27398,504.7
2023-12-18,18701,344.5
2023-12-19,18701,344.5
2023-12-20,18701,344.5
2023-12-21,18701,344.5
2023-12-22,18701,344.5
2023-12-23,18701,344.5
2023-12-24,18701,344.5
2023-12-25,17561,323.5
2023-12-26,17561,323.5
2023-12-27,17561,323.5
2023-12-28,17561,323.5
2023-12-29,17561,323.5
2023-12-30,17561,323.5
2023-12-31,17561,323.5
2024-01-01,20813,383.4
2024-01-02,20813,383.4
2024-01-03,20813,383.4
2024-01-04,20813,383.4
2024-01-05,20813,383.4
2024-01-06,20813,383.4
2024-01-07,20813,383.4
2024-01-08,24201,445.8
2024-01-09,24201,445.8
2024-01-10,24201,445.8
2024-01-11,24201,445.8
2024-01-12,24201,445.8
2024-01-13,24201,445.8
2024-01-14,24201,445.8
2024-01-15,24787,456.6
2024-01-16,24787,456.6
2024-01-17,24787,456.6
2024-01-18,24787,456.6
2024-01-19,24787,456.6
2024-01-20,24787,456.6
2024-01-21,24787,456.6
2024-01-22,25775,474.8
2024-01-23,25775,474.8
2024-01-24,25775,474.8
2024-01-25,25775,474.8
2024-01-26,25775,474.8
2024-01-27,25775,474.8
2024-01-28,25775,474.8
2024-01-29,27794,512.0
2024-01-30,27794,512.0
2024-01-31,27794,512.0
2024-02-01,27794,512.0
2024-02-02,27794,512.0
2024-02-03,27794,512.0
2024-02-04,27794,512.0
2024-02-05,27040,498.1
2024-02-06,27040,498.1
2024-02-07,27040,498.1
2024-02-08,27040,498.1
2024-02-09,27040,498.1
2024-02-10,27040,498.1
2024-02-11,27040,498.1
2024-02-12,21123,389.1
2024-02-13,21123,389.1
2024-02-14,21123,389.1
2024-02-15,21123,389.1
2024-02-16,21123,389.1
2024-02-17,21123,389.1
2024-02-18,21123,389.1
2024-02-19,18875,347.7
2024-02-20,18875,347.7
2024-02-21,18875,347.7
2024-02-22,18875,347.7
2024-02-23,18875,347.7
2024-02-24,18875,347.7
2024-02-25,18875,347.7
2024-02-26,17274,318.2
2024-02-27,17274,318.2
2024-02-28,17274,318.2
2024-02-29,17274,318.2
2024-03-01,17274,318.2
2024-03-02,17274,318.2
2024-03-03,17274,318.2
2024-03-04,17529,322.9
2024-03-05,17529,322.9
2024-03-06,17529,322.9
2024-03-07,17529,322.9
2024-03-08,17529,322.9
2024-03-09,17529,322.9
2024-03-10,17529,322.9
2024-03-11,17844,328.7
2024-03-12,17844,328.7
2024-03-13,17844,328.7
2024-03-14,17844,328.7
2024-03-15,17844,328.7
2024-03-16,17844,328.7
2024-03-17,17844,328.7
2024-03-18,17513,322.6
2024-03-19,17513,322.6
2024-03-20,17513,322.6
2024-03-21,17513,322.6
2024-03-22,17513,322.6
2024-03-23,17513,322.6
2024-03-24,17513,322.6
2024-03-25,17480,322.0
