date,cases,ILI_rate_per_100k
2023-10-02,544,8.1
2023-10-03,544,8.1
2023-10-04,544,8.1
2023-10-05,544,8.1
2023-10-06,544,8.1
2023-10-07,544,8.1
2023-10-08,544,8.1
2023-10-09,430,6.4
2023-10-10,430,6.4
2023-10-11,430,6.4
2023-10-12,430,6.4
2023-10-13,430,6.4
2023-10-14,430,6.4
2023-10-15,430,6.4
2023-10-16,544,8.1
2023-10-17,544,8.1
2023-10-18,544,8.1
2023-10-19,544,8.1
2023-10-20,544,8.1
2023-10-21,544,8.1
2023-10-22,544,8.1
2023-10-23,618,9.2
2023-10-24,618,9.2
2023-10-25,618,9.2
2023-10-26,618,9.2
2023-10-27,618,9.2
2023-10-28,618,9.2
2023-10-29,618,9.2
2023-10-30,591,8.8
2023-10-31,591,8.8
2023-11-01,591,8.8
2023-11-02,591,8.8
2023-11-03,591,8.8
2023-11-04,591,8.8
2023-11-05,591,8.8
2023-11-06,866,12.9
2023-11-07,866,12.9
2023-11-08,866,12.9
2023-11-09,866,12.9
2023-11-10,866,12.9
2023-11-11,866,12.9
2023-11-12,866,12.9
2023-11-13,1115,16.6
2023-11-14,1115,16.6
2023-11-15,1115,16.6
2023-11-16,1115,16.6
2023-11-17,1115,16.6
2023-11-18,1115,16.6
2023-11-19,1115,16.6
2023-11-20,1390,20.7
2023-11-21,1390,20.7
2023-11-22,1390,20.7
2023-11-23,1390,20.7
2023-11-24,1390,20.7
2023-11-25,1390,20.7
2023-11-26,1390,20.7
2023-11-27,2014,30.0
2023-11-28,2014,30.0
2023-11-29,2014,30.0
2023-11-30,2014,30.0
2023-12-01,2014,30.0
2023-12-02,2014,30.0
2023-12-03,2014,30.0
2023-12-04,1981,29.5
2023-12-05,1981,29.5
2023-12-06,1981,29.5
2023-12-07,1981,29.5
2023-12-08,1981,29.5
2023-12-09,1981,29.5
2023-12-10,1981,29.5
2023-12-11,3767,56.1
2023-12-12,3767,56.1
2023-12-13,3767,56.1
2023-12-14,3767,56.1
2023-12-15,3767,56.1
2023-12-16,3767,56.1
2023-12-17,3767,56.1
2023-12-18,5754,85.7
2023-12-19,5754,85.7
2023-12-20,5754,85.7
2023-12-21,5754,85.7
2023-12-22,5754,85.7
2023-12-23,5754,85.7
2023-12-24,5754,85.7
2023-12-25,8480,126.3
2023-12-26,8480,126.3
2023-12-27,8480,126.3
2023-12-28,8480,126.3
2023-12-29,8480,126.3
2023-12-30,8480,126.3
2023-12-31,8480,126.3
2024-01-01,9440,140.6
2024-01-02,9440,140.6
2024-01-03,9440,140.6
2024-01-04,9440,140.6
2024-01-05,9440,140.6
2024-01-06,9440,140.6
2024-01-07,9440,140.6
2024-01-08,9279,138.2
2024-01-09,9279,138.2
2024-01-10,9279,138.2
2024-01-11,9279,138.2
2024-01-12,9279,138.2
2024-01-13,9279,138.2
2024-01-14,9279,138.2
2024-01-15,6063,90.3
2024-01-16,6063,90.3
2024-01-17,6063,90.3
2024-01-18,6063,90.3
2024-01-19,6063,90.3
2024-01-20,6063,90.3
2024-01-21,6063,90.3
2024-01-22,3525,52.5
2024-01-23,3525,52.5
2024-01-24,3525,52.5
2024-01-25,3525,52.5
2024-01-26,3525,52.5
2024-01-27,3525,52.5
2024-01-28,3525,52.5
2024-01-29,2263,33.7
2024-01-30,2263,33.7
2024-01-31,2263,33.7
2024-02-01,2263,33.7
2024-02-02,2263,33.7
2024-02-03,2263,33.7
2024-02-04,2263,33.7
2024-02-05,1672,24.9
2024-02-06,1672,24.9
2024-02-07,1672,24.9
2024-02-08,1672,24.9
2024-02-09,1672,24.9
2024-02-10,1672,24.9
2024-02-11,1672,24.9
2024-02-12,1316,19.6
2024-02-13,1316,19.6
2024-02-14,1316,19.6
2024-02-15,1316,19.6
2024-02-16,1316,19.6
2024-02-17,1316,19.6
2024-02-18,1316,19.6
2024-02-19,1168,17.4
2024-02-20,1168,17.4
2024-02-21,1168,17.4
2024-02-22,1168,17.4
2024-02-23,1168,17.4
2024-02-24,1168,17.4
2024-02-25,1168,17.4
2024-02-26,1027,15.3
2024-02-27,1027,15.3
2024-02-28,1027,15.3
2024-02-29,1027,15.3
2024-03-01,1027,15.3
2024-03-02,1027,15.3
2024-03-03,1027,15.3
2024-03-04,1007,15.0
2024-03-05,1007,15.0
2024-03-06,1007,15.0
2024-03-07,1007,15.0
2024-03-08,1007,15.0
2024-03-09,1007,15.0
2024-03-10,1007,15.0
2024-03-11,947,14.1
2024-03-12,947,14.1
2024-03-13,947,14.1
2024-03-14,947,14.1
2024-03-15,947,14.1
2024-03-16,947,14.1
2024-03-17,947,14.1
2024-03-18,792,11.8
2024-03-19,792,11.8
2024-03-20,792,11.8
2024-03-21,792,11.8
2024-03-22,792,11.8
2024-03-23,792,11.8
2024-03-24,792,11.8
2024-03-25,571,8.5
