date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-03-09,COVID-19,Germany,DE,Germany,reported_cases,1112,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-10,COVID-19,Germany,DE,Germany,reported_cases,1296,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-11,COVID-19,Germany,DE,Germany,reported_cases,1567,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-12,COVID-19,Germany,DE,Germany,reported_cases,2369,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-13,COVID-19,Germany,DE,Germany,reported_cases,3062,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-14,COVID-19,Germany,DE,Germany,reported_cases,3795,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-15,COVID-19,Germany,DE,Germany,reported_cases,4838,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-16,COVID-19,Germany,DE,Germany,reported_cases,6012,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-17,COVID-19,Germany,DE,Germany,reported_cases,7156,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-18,COVID-19,Germany,DE,Germany,reported_cases,8198,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-19,COVID-19,Germany,DE,Germany,reported_cases,10999,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-20,COVID-19,Germany,DE,Germany,reported_cases,13957,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-21,COVID-19,Germany,DE,Germany,reported_cases,16662,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-22,COVID-19,Germany,DE,Germany,reported_cases,18610,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-23,COVID-19,Germany,DE,Germany,reported_cases,22672,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-24,COVID-19,Germany,DE,Germany,reported_cases,27436,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-25,COVID-19,Germany,DE,Germany,reported_cases,31554,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-26,COVID-19,Germany,DE,Germany,reported_cases,36508,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-27,COVID-19,Germany,DE,Germany,reported_cases,42288,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-28,COVID-19,Germany,DE,Germany,reported_cases,48582,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-29,COVID-19,Germany,DE,Germany,reported_cases,52547,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-30,COVID-19,Germany,DE,Germany,reported_cases,57298,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-03-31,COVID-19,Germany,DE,Germany,reported_cases,61913,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-01,COVID-19,Germany,DE,Germany,reported_cases,67366,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-02,COVID-19,Germany,DE,Germany,reported_cases,73522,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-03,COVID-19,Germany,DE,Germany,reported_cases,79696,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
