date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-03-02,COVID-19,Germany,DE,Germany,hospitalization_incidence,0.1,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-03-09,COVID-19,Germany,DE,Germany,hospitalization_incidence,0.8,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-03-16,COVID-19,Germany,DE,Germany,hospitalization_incidence,2.3,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-03-23,COVID-19,Germany,DE,Germany,hospitalization_incidence,5.3,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-03-30,COVID-19,Germany,DE,Germany,hospitalization_incidence,5.3,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-04-06,COVID-19,Germany,DE,Germany,hospitalization_incidence,3.9,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-04-13,COVID-19,Germany,DE,Germany,hospitalization_incidence,2.8,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-04-20,COVID-19,Germany,DE,Germany,hospitalization_incidence,2.3,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-04-27,COVID-19,Germany,DE,Germany,hospitalization_incidence,1.1,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-05-04,COVID-19,Germany,DE,Germany,hospitalization_incidence,1.1,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-05-11,COVID-19,Germany,DE,Germany,hospitalization_incidence,0.6,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-05-18,COVID-19,Germany,DE,Germany,hospitalization_incidence,0.4,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-05-25,COVID-19,Germany,DE,Germany,hospitalization_incidence,0.4,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
2020-06-01,COVID-19,Germany,DE,Germany,hospitalization_incidence,0.3,,RKI COVID-SARI-Hospitalisierungsinzidenz,False,False,weekly_sentinel
