S,V,E,A,I,H,C,R,D
999000.0,500.0,100.0,100.0,250.0,30.0,10.0,10.0,0.0
998900.8921758354,497.2152992582214,173.22474466540592,96.88239912536226,232.66434224244185,31.23939218714427,9.823001811360315,57.80682310927769,0.25182176537537376
998806.562743789,494.44668453222994,227.2749785655483,99.39334147229444,226.19638970598427,32.093533418549995,9.695473532594646,103.82941545285465,0.5074395309598747
998712.885377697,491.69355173985053,269.83476635879157,105.49614071446253,227.02610000487553,32.78515525414461,9.603799577950275,149.9092868120707,0.7658218411263088
998617.0941842234,488.95547473328804,305.7808426876855,113.94972117995303,232.92107767508605,33.454249448326344,9.541211052374694,197.27646610748087,1.0267728923897619
998517.267192603,486.2321378002734,338.226297385334,124.01157263889418,242.49427406906742,34.189057841375636,9.5050562167311,246.78377171924666,1.2906397261329523
998412.0005196731,483.52329335088393,369.1775039772477,135.25135017082266,254.89409183064535,35.04560576981874,9.495112521244332,299.05439489010064,1.558127816102017
998300.2024331983,480.8287353603887,399.947720312729,147.43404424415638,269.60931039196157,36.06002085186757,9.512551807087984,354.57499852866647,1.8301853047281598
998180.9627921608,478.148282667522,431.41759253598343,160.4468841364723,286.34630336909936,37.256307783730044,9.55931436592921,413.75459214985295,2.1079308306914655
998053.4698515495,475.4817684355155,464.1993347160983,174.25372392439272,304.95178270127406,38.651260871477845,9.637738245523268,476.9619304157276,2.3926091406486654
997916.9568026796,472.8290334647496,498.74030785344837,188.86669111796863,325.36422395850224,40.25757354058465,9.750347281587262,544.5494555978017,2.685564505944061
997770.6669521632,470.18992191038285,535.3884787598348,204.3286721714719,347.58336970169546,42.08581218798082,9.899737273784794,616.8688301931895,2.9882256385181813
997613.8305523494,467.5642784993057,574.4339063081138,220.7025960040845,371.6511364615267,44.145675004459925,10.088522343630995,694.2812349124256,3.30209811716317
997445.6488818224,464.9519466793076,616.1351588961993,238.0649781352982,397.63972356919567,46.44680101586696,10.319317747385233,777.1644303365899,3.6287617980127576
997265.2828015249,462.3527673452098,660.7362672066871,256.50213240752,425.64427844613726,48.99929672216109,10.59474437280856,865.9178403669063,3.9698716078386105
997071.8440357521,459.7665779192953,708.4777397810669,276.1080511215706,455.7784526692583,51.81408605119619,10.917445779992425,960.9664502212087,4.327160704363629
996864.3880713296,457.1932116463336,759.6038620942459,296.9833277415522,488.1717998993754,54.90315048030417,11.290112184230424,1062.7640192648776,4.702445359689549
996641.9079734989,454.6324970154176,814.3676773579972,319.2347309284885,522.9683550938428,58.279701673139414,11.71550799823488,1171.7959252741693,5.097631159967557
996403.3286719569,452.0842572533153,873.0345296313495,342.9751860031542,560.3259789651231,61.95831351823364,12.196500940079579,1288.5818414658165,5.514720266309695
996147.5014308646,449.54830985437115,935.8847239664376,368.32401239881824,600.4162056659724,65.95503069382495,12.73609157959314,1413.6783753967563,5.955819579954864
995873.1983175733,447.02446612471266,1003.2156531515201,395.4073236160147,643.4244287048014,70.28746471399845,13.337442733276134,1547.6817536639617,6.423149718601494
995579.1065483645,444.5125307264837,1075.3436113691491,424.35853244859896,689.5503212211204,74.97488450697982,14.003908448249492,1691.2306081621427,6.919054753046132
995263.8226296026,442.0123012128189,1152.605433594502,455.31892687255436,739.008425259424,80.03830610138714,14.73906251619703,1845.0089021590557,7.446012681678949
994925.8462381187,439.52356754740316,1235.3600480823372,488.4382960432924,792.0288689267007,85.50058442321976,15.546726577223888,2009.7490236414396,8.006646639945753
994563.5738008905,437.0461116044422,1323.989996664857,523.8755945176794,848.8581855618069,91.38650920277276,16.430997941560435,2186.235066761108,8.603736855729009
994175.2917446847,434.57970664612435,1418.902956773801,561.7996381031106,909.7602185915621,97.72290634645174,17.396277293328108,2375.306318189563,9.240233371712918
993759.1693934762,432.1241167754715,1520.5332856754553,602.3898278915215,975.0171016778345,104.53874571072637,18.447296457236284,2577.860962772398,9.919269563436476
993313.2514965733,429.6790963630232,1629.3435985697438,645.8369008460354,1044.9303073777999,111.86525593989089,19.58914641367154,2794.860021429117,10.644176487697733
992835.4503743886,427.2443894461848,1745.8263861855285,692.3437062614823,1119.8217596642758,119.73604684218235,20.827305744889507,3027.331533366351,11.418498100751965
992323.5376722766,424.8197291003704,1870.5056731815762,742.1260078208423,1200.035006795467,128.18723964568963,22.167669687831427,3276.3749941022966,12.246007389656333
